day_of_week,start_time,finsh_time,stage
1,20:00,00:00,6
1,20:00,00:00,7
1,20:00,00:00,8
2,16:00,20:00,5
2,16:00,20:00,6
2,16:00,20:00,7
2,16:00,20:00,8
3,04:00,08:00,5
3,04:00,08:00,6
3,04:00,08:00,7
3,04:00,08:00,8
3,12:00,16:00,7
3,12:00,16:00,8
4,04:00,08:00,7
5,08:00,12:00,6
5,08:00,12:00,7
5,08:00,12:00,8
5,12:00,16:00,1
5,12:00,16:00,2
5,12:00,16:00,3
5,12:00,16:00,4
5,12:00,16:00,5
5,12:00,16:00,6
6,08:00,12:00,7
6,08:00,12:00,8
6,12:00,16:00,5
6,12:00,16:00,6
6,12:00,16:00,7
7,16:00,20:00,3
7,16:00,20:00,7
